fichier	url_image	page_source	titre	requete	date
/images/q-rois-de-france-07.webp	http://www.noblesseetroyautes.com/wp-content/uploads/2023/02/329472020_3538686033020287_8807558841967552396_n.jpg	http://www.noblesseetroyautes.com/vue-aerienne-de-versailles/	Vue aérienne de Versailles – Noblesse & Royautés	château de Versailles vue aérienne photo	2026-09-24
/images/q-revolution-francaise-05.webp	https://cerclerenouvellementconstitutionnel.org/wp-content/uploads/2022/05/DDHC1789-R-1240x800.jpg	https://cerclerenouvellementconstitutionnel.org/2022/05/17/presentation-et-debat-sur-larticle-2-de-la-declaration-des-droits-de-lhomme-et-du-citoyen/	Présentation et Débat sur l’Article 2 de la Déclaration des Droits de l ...	Déclaration des droits de l'homme tableau Jean-Jacques-François Le Barbier musée Carnavalet	2026-09-24
/images/q-revolution-francaise-04.webp	https://www.parismuseescollections.paris.fr/sites/default/files/styles/pm_diaporama_zoom/public/atoms/images/CAR/lpdp_82900-17.jpg?itok=RdsCfHOZ	https://www.parismuseescollections.paris.fr/fr/musee-carnavalet/oeuvres/arrestation-de-louis-xvi-a-varennes-21-22-juin-1791	Arrestation de Louis XVI à Varennes, 21-22 juin 1791. | Paris Musées	arrestation de Louis XVI à Varennes 1791 gravure	2026-09-24
/images/q-premiere-guerre-mondiale-01.webp	https://www.reforme.net/wp-content/uploads/pont_latin.jpg	https://www.reforme.net/opinions/journal-opinions-attentat-sarajevo/	L’attentat de Sarajevo - Reforme	pont Latin Sarajevo lieu de l'attentat 1914 photo	2026-09-24
/images/q-premiere-guerre-mondiale-03.webp	https://visitgrandest.com/wp-content/uploads/2022/08/OssuairedeDouaumont000.jpg	https://visitgrandest.com/ossuaire-de-douaumont	Ossuaire de Douaumont - Visit Grand Est	ossuaire de Douaumont Verdun photo	2026-09-24
/images/q-premiere-guerre-mondiale-09.webp	https://mobiwisy.fr/wp-content/uploads/180827-77.jpg	https://mobiwisy.fr/transports-collectifs/transports-en-commun/train/de-la-guerre-a-la-memoire-le-wagon-de-larmistice	De la guerre à la mémoire : le wagon de l’armistice - Mobiwisy	wagon de l'armistice clairière de Rethondes Compiègne	2026-09-24
/images/q-premiere-guerre-mondiale-10.webp	https://img.static-rmg.be/a/view/q75/w/h/3880741/7bb0f6de692b7c9484fa5ddb2a651dc2-jpg.jpg	https://www.levif.be/magazine/ou-comment-le-traite-de-versailles-de-1919-a-mene-a-la-seconde-guerre-mondiale/	Ou comment le traité de Versailles de 1919 a mené à la Seconde Guerre ...	signature du traité de Versailles galerie des Glaces 1919 tableau Orpen	2026-09-24
/images/q-seconde-guerre-mondiale-03.webp	https://www.radiofrance.fr/pikapi/images/4d7944da-70bc-4d8c-afc3-1dbb494f6bea/2048	https://www.radiofrance.fr/franceinter/histoire-des-mouvements-de-resistance-face-a-l-allemagne-nazie-2020433	Histoire des mouvements de Résistance face à l'Allemagne nazie	général de Gaulle au micro de la BBC Londres 1940 photo	2026-09-24
/images/q-seconde-guerre-mondiale-04.webp	https://www.dday-overlord.com/img/dday/ob/22_omaha_beach_1944_debarquement_normandie.jpg	https://glam.bobkrone.com/bateau-omaha-beach-1944-6-juin-1944-le-debarquement-de-normandie/	Bateau Omaha Beach 1944 | 6 juin 1944 : le débarquement de Normandie – CRGF	débarquement Omaha Beach 6 juin 1944 photo historique péniche	2026-09-24	# rejetée
/images/q-seconde-guerre-mondiale-05.webp	https://pearl-harbor.info/wp-content/uploads/2023/03/Arizona-1-scaled-1.jpg	https://pearl-harbor.info/design-of-the-uss-arizona-memorial/	Design of The USS Arizona Memorial - Pearl Harbor	USS Arizona Memorial Pearl Harbor photo	2026-09-24
/images/q-seconde-guerre-mondiale-06.webp	https://static.vecteezy.com/system/resources/previews/002/786/363/non_2x/genbaku-dome-of-hiroshima-peace-memorial-in-japan-photo.jpg	https://www.vecteezy.com/photo/2786363-genbaku-dome-of-hiroshima-peace-memorial-in-japan	Genbaku Dome of Hiroshima Peace Memorial in Japan 2786363 Stock Photo ...	dôme de Genbaku mémorial de la paix Hiroshima	2026-09-24	# rejetée
/images/q-seconde-guerre-mondiale-04.webp	http://www.dday-overlord.com/wp-content/uploads/2016/02/omaha_beach_debarquement_equipements-1.jpg	https://www.dday-overlord.com/debarquement-normandie/plages/omaha-beach/2	Omaha Beach - Débarquement de Normandie - 6 juin 1944 - 2	débarquement Omaha Beach 6 juin 1944 photo historique péniche	2026-09-24
/images/q-seconde-guerre-mondiale-06.webp	https://static.vecteezy.com/system/resources/previews/032/079/927/large_2x/genbaku-dome-of-hiroshima-peace-memorial-in-hiroshima-japan-photo.jpg	https://www.vecteezy.com/photo/32079927-genbaku-dome-of-hiroshima-peace-memorial-in-hiroshima-japan	Genbaku Dome of Hiroshima Peace Memorial in Hiroshima, Japan 32079927 ...	dôme de Genbaku mémorial de la paix Hiroshima	2026-09-24	# rejetée
/images/q-seconde-guerre-mondiale-06.webp	https://media01.stockfood.com/largepreviews/NDQzMjAyNzg0/14296864-Hiroshima-Peace-Memorial-Genbaku-Dome-Atomic-Bomb-Dome-or-A-Bomb-Dome-and-Motoyasu-River-in-Hiroshima-Japan.jpg	https://www.imageprofessionals.com/en/images/14296864-Hiroshima-Peace-Memorial-Genbaku-Dome-Atomic-Bomb-Dome-or-A-Bomb-Dome-and-Motoyasu-River-in-Hiroshima-Japan	Hiroshima Peace Memorial (Genbaku Dome, … – License image – 14296864 ...	Hiroshima Peace Memorial Park A-Bomb Dome river Motoyasu	2026-09-24
